,T1,T2,Dt,X1,Y1,X2,Y2,Std,S,V,Mode
0,2023-02-28 08:56:34,2023-02-28 09:14:04,1050,108.083,176.840,106.503,217.456,48.657,10344.151,9.852,Invalid
1,2023-02-28 09:14:04,2023-02-28 09:38:30,1466,106.502,217.469,103.500,163.500,8.876,322.945,0.220,Local
2,2023-02-28 09:38:30,2023-02-28 09:42:55,265,103.500,163.500,97.541,208.493,18.038,228.920,0.864,Far
3,2023-02-28 09:42:55,2023-02-28 09:44:54,119,97.529,208.495,106.511,217.467,6.937,81.790,0.687,Local
4,2023-02-28 09:44:54,2023-02-28 10:00:40,946,106.508,217.477,106.500,217.500,0.001,0.024,0.000,Long
5,2023-02-28 10:00:40,2023-02-28 10:01:59,79,106.500,217.500,94.516,184.542,9.154,50.055,0.634,Local
6,2023-02-28 10:01:59,2023-02-28 10:14:30,751,94.511,184.529,76.460,49.500,43.646,294.169,0.392,Far
7,2023-02-28 10:14:30,2023-02-28 10:15:42,72,76.472,49.500,76.500,49.500,0.004,0.028,0.000,Local
8,2023-02-28 10:15:42,2023-02-28 10:18:14,152,76.500,49.500,109.478,208.473,60.029,279.577,1.839,Far
9,2023-02-28 10:18:14,2023-02-28 11:13:34,3320,109.484,208.481,94.500,190.500,6.225,126.023,0.038,Local
10,2023-02-28 11:13:34,2023-02-28 11:17:39,245,94.500,190.500,106.500,211.536,15.818,215.545,0.880,Far
11,2023-02-28 11:17:39,2023-02-28 11:35:44,1085,106.500,211.526,100.541,193.500,11.225,258.852,0.239,Local
12,2023-02-28 11:35:44,2023-02-28 12:14:53,2349,100.529,193.500,97.500,184.500,2.981,14.878,0.006,Long
13,2023-02-28 12:14:53,2023-02-28 12:25:02,609,97.500,184.500,109.500,208.500,8.360,161.368,0.265,Local
14,2023-02-28 12:25:02,2023-02-28 12:33:51,529,109.500,208.500,64.500,46.500,58.460,269.301,0.509,Far
15,2023-02-28 12:33:51,2023-02-28 12:37:31,220,64.500,46.500,37.500,61.500,11.829,73.546,0.334,Local
16,2023-02-28 12:37:31,2023-02-28 12:49:17,706,37.500,61.500,115.479,196.537,54.680,909.959,1.289,Far
17,2023-02-28 12:49:17,2023-02-28 12:53:15,238,115.485,196.526,106.500,220.500,9.163,45.535,0.191,Local
18,2023-02-28 12:53:15,2023-02-28 13:10:31,1036,106.500,220.500,55.500,172.463,59.446,745.770,0.720,Far
19,2023-02-28 13:10:31,2023-02-28 13:15:19,288,55.500,172.474,91.458,181.500,12.539,149.979,0.521,Local
20,2023-02-28 13:15:19,2023-02-28 13:21:09,350,91.471,181.500,91.500,181.500,0.002,0.029,0.000,Long
21,2023-02-28 13:21:09,2023-02-28 13:23:43,154,91.500,181.500,91.538,181.521,9.358,103.807,0.674,Local
22,2023-02-28 13:23:43,2023-02-28 14:12:14,2911,91.527,181.515,91.500,181.500,0.541,15.347,0.005,Long
23,2023-02-28 14:12:14,2023-02-28 14:21:06,532,91.500,181.500,91.500,181.500,13.788,428.242,0.805,Local
24,2023-02-28 14:21:06,2023-02-28 14:22:53,107,91.500,181.500,112.499,133.542,17.602,115.544,1.080,Far
25,2023-02-28 14:22:53,2023-02-28 14:28:17,324,112.499,133.529,94.500,184.500,22.501,86.382,0.267,Far
26,2023-02-28 14:28:17,2023-02-28 14:32:01,224,94.500,184.500,94.536,190.508,49.566,411.932,1.839,Far
27,2023-02-28 14:32:01,2023-02-28 14:40:55,534,94.525,190.506,91.532,181.518,5.077,130.482,0.244,Local
28,2023-02-28 14:40:55,2023-02-28 14:55:38,883,91.522,181.512,91.500,181.500,0.001,0.026,0.000,Long
29,2023-02-28 14:55:38,2023-02-28 14:59:58,260,91.500,181.500,91.296,181.451,12.491,115.560,0.444,Local
