Date,Shift,Name,T1,T2,Dt,From,To,Way,Std,S,V
23-02-13,1,Forklift 01,08:21:20,08:23:25,125,clearing_bldg,bldg_2_entry_area,1,36.868267,139.431661,1.115453
23-02-13,1,Forklift 01,09:14:02,09:16:44,162,sheet_metal,clearing_bldg,1,54.964017,274.463864,1.694221
23-02-13,1,Forklift 01,09:33:16,09:35:05,109,clearing_bldg,machine_shop,1,42.504321,181.211177,1.662488
23-02-13,1,Forklift 01,10:16:04,10:17:17,73,sheet_metal,clearing_bldg,1,41.668625,185.763614,2.544707
23-02-13,1,Forklift 01,13:11:30,13:13:32,122,clearing_bldg,bldg_2_entry_area,1,44.080316,169.662151,1.390673
23-02-13,1,Forklift 01,13:13:56,13:14:55,59,bldg_2_entry_area,sheet_metal,1,19.543674,73.319166,1.242698
23-02-13,1,Forklift 01,13:17:23,13:20:45,202,sheet_metal,machine_shop,1,53.176178,414.958248,2.054249
23-02-13,1,Forklift 01,13:23:18,13:24:44,86,sheet_metal,clearing_bldg,1,40.889352,190.299234,2.212782
23-02-13,1,Forklift 01,13:39:37,13:41:36,119,tool_storage,sheet_metal,1,52.246628,246.695231,2.073069
23-02-13,1,Forklift 01,13:44:35,13:45:42,67,sheet_metal,clearing_bldg,1,44.344911,183.379532,2.737008
23-02-13,1,Pallet truck 02,07:14:30,07:21:26,416,clearing_bldg,cell_16,2,19.100969,477.637100,1.148166
23-02-13,1,Pallet truck 02,07:21:55,07:24:00,125,clearing_bldg,bldg_2_entry_area,1,36.756484,139.200507,1.113604
23-02-13,1,Pallet truck 02,07:26:56,07:28:01,65,unknown,sheet_metal,1,22.415655,65.547046,1.008416
23-02-13,1,Pallet truck 02,07:40:41,07:43:38,177,unknown,clearing_bldg,1,54.635017,216.586576,1.223653
23-02-13,1,Pallet truck 02,07:54:23,07:56:04,101,clearing_bldg,cell_16,1,15.089100,72.155180,0.714408
23-02-13,1,Pallet truck 02,09:39:28,09:43:47,259,cell_16,sheet_metal,1,50.841163,318.912497,1.231322
23-02-13,1,Pallet truck 02,09:48:36,09:57:14,518,sheet_metal,nozzle_cell,1,61.535067,536.930325,1.036545
23-02-13,1,Pallet truck 02,09:57:41,10:01:31,230,nozzle_cell,cell_16,1,51.868514,264.919837,1.151825
23-02-13,1,Pallet truck 02,11:21:21,11:22:32,71,clearing_bldg,bldg_2_entry_area,1,32.908278,126.424671,1.780629
23-02-13,1,Pallet truck 02,11:25:08,11:27:15,127,bldg_2_entry_area,clearing_bldg,1,37.373098,132.410441,1.042602
23-02-13,1,Pallet truck 02,11:30:43,11:36:22,339,clearing_bldg,sheet_metal,2,47.660583,399.417058,1.178221
23-02-13,1,Pallet truck 02,13:20:15,13:26:04,349,clearing_bldg,sheet_metal,2,48.737459,439.314241,1.258780
23-02-13,1,Pallet truck 02,14:23:08,14:25:19,131,clearing_bldg,bldg_2_entry_area,1,40.465314,138.430465,1.056721
23-02-13,1,Pallet truck 02,14:26:32,14:27:23,51,bldg_2_entry_area,sheet_metal,1,24.805397,99.931276,1.959437
23-02-13,1,Pallet truck 02,14:30:01,14:32:44,163,sheet_metal,clearing_bldg,1,55.318899,232.063297,1.423701
23-02-13,1,Pallet truck 02,14:47:29,14:48:19,50,clearing_bldg,press_room,1,17.693698,130.156331,2.603127
23-02-13,1,Cart 04,07:13:50,07:14:54,64,clearing_bldg,cell_16,1,18.526883,80.913179,1.264268
