,I1,I2,T1,T2,Dt,Std,S,V,Path
0,0,818,2023-02-28 08:56:34,2023-02-28 09:10:34,840.000,41.789,10269.414,12.225,NUL
1,819,958,2023-02-28 09:11:45,2023-02-28 09:14:04,139.000,10.406,66.902,0.481,STO-CLR-STO
2,958,990,2023-02-28 09:14:04,2023-02-28 09:14:36,32.000,0.007,0.031,0.001,STO
3,990,1368,2023-02-28 09:14:36,2023-02-28 09:20:56,380.000,6.117,169.019,0.445,STO-OUT-CLR-STO-CLR-ROL-CLR-STO
4,1368,1557,2023-02-28 09:20:56,2023-02-28 09:24:08,192.000,0.003,0.025,0.000,STO
5,1557,1636,2023-02-28 09:24:08,2023-02-28 09:25:27,79.000,0.796,29.964,0.379,STO
6,1636,1720,2023-02-28 09:25:27,2023-02-28 09:26:53,86.000,0.005,0.032,0.000,STO
7,1720,1744,2023-02-28 09:26:53,2023-02-28 09:27:17,24.000,1.016,7.080,0.295,STO
8,1744,1911,2023-02-28 09:27:17,2023-02-28 09:30:06,169.000,0.003,0.027,0.000,STO
9,1911,1925,2023-02-28 09:30:06,2023-02-28 09:30:20,14.000,1.231,4.201,0.300,STO
10,1925,2000,2023-02-28 09:30:20,2023-02-28 09:31:35,75.000,0.004,0.029,0.000,STO
11,2000,2015,2023-02-28 09:31:35,2023-02-28 09:31:50,15.000,1.331,4.960,0.331,STO-ROL
12,2015,2043,2023-02-28 09:31:50,2023-02-28 09:32:18,28.000,0.008,0.033,0.001,ROL
13,2043,2092,2023-02-28 09:32:18,2023-02-28 09:33:07,49.000,0.905,15.338,0.313,ROL
14,2092,2118,2023-02-28 09:33:07,2023-02-28 09:33:33,26.000,0.007,0.030,0.001,ROL
15,2118,2136,2023-02-28 09:33:33,2023-02-28 09:33:53,20.000,0.292,3.531,0.177,ROL
16,2136,2159,2023-02-28 09:33:53,2023-02-28 09:34:16,23.000,0.007,0.026,0.001,ROL
17,2159,2263,2023-02-28 09:34:16,2023-02-28 09:36:00,104.000,1.450,20.050,0.193,ROL
18,2263,2322,2023-02-28 09:36:00,2023-02-28 09:36:59,59.000,0.005,0.030,0.001,ROL
19,2322,2385,2023-02-28 09:36:59,2023-02-28 09:38:03,64.000,13.376,68.395,1.069,ROL-CLR-STO-CLR-PRE
20,2385,2412,2023-02-28 09:38:03,2023-02-28 09:38:30,27.000,0.007,0.029,0.001,PRE
21,2412,2675,2023-02-28 09:38:30,2023-02-28 09:42:55,265.000,18.038,228.920,0.864,PRE-CLR-OUT-CLR-STO-CLR-OUT-CLR-PRE-CLR-STO
22,2675,2700,2023-02-28 09:42:55,2023-02-28 09:43:20,25.000,0.007,0.029,0.001,STO
23,2700,2794,2023-02-28 09:43:20,2023-02-28 09:44:54,94.000,7.064,81.760,0.870,STO
24,2794,3734,2023-02-28 09:44:54,2023-02-28 10:00:40,946.000,0.001,0.024,0.000,STO
25,3734,3812,2023-02-28 10:00:40,2023-02-28 10:01:59,79.000,9.154,50.055,0.634,STO-ROL
26,3812,3906,2023-02-28 10:01:59,2023-02-28 10:03:33,94.000,0.004,0.032,0.000,ROL
27,3906,3921,2023-02-28 10:03:33,2023-02-28 10:03:48,15.000,0.885,3.880,0.259,ROL
28,3921,4092,2023-02-28 10:03:48,2023-02-28 10:06:40,172.000,0.003,0.027,0.000,ROL
29,4092,4108,2023-02-28 10:06:40,2023-02-28 10:06:56,16.000,0.916,4.516,0.282,ROL
30,4108,4197,2023-02-28 10:06:56,2023-02-28 10:08:25,89.000,0.004,0.031,0.000,ROL
31,4197,4211,2023-02-28 10:08:25,2023-02-28 10:08:40,15.000,0.870,2.971,0.198,ROL-OUT-STO
32,4211,4297,2023-02-28 10:08:40,2023-02-28 10:10:07,87.000,0.002,0.014,0.000,STO
33,4297,4314,2023-02-28 10:10:07,2023-02-28 10:10:24,17.000,0.792,4.462,0.262,STO-ROL
34,4314,4362,2023-02-28 10:10:24,2023-02-28 10:11:12,48.000,0.005,0.025,0.001,ROL
35,4362,4559,2023-02-28 10:11:12,2023-02-28 10:14:30,198.000,65.405,278.161,1.405,ROL-CLR-ROL-CLR-OUT-ROL-CLR-STO-OUT-ROL-OUT-TOL-OUT-BG2-OUT-NOZ
36,4559,4631,2023-02-28 10:14:30,2023-02-28 10:15:42,72.000,0.004,0.028,0.000,NOZ
37,4631,4781,2023-02-28 10:15:42,2023-02-28 10:18:14,152.000,60.029,279.577,1.839,NOZ-OUT-C16-OUT-CLR-STO-ROL-STO
38,4781,4804,2023-02-28 10:18:14,2023-02-28 10:18:37,23.000,0.006,0.025,0.001,STO
39,4804,4847,2023-02-28 10:18:37,2023-02-28 10:19:20,43.000,1.060,11.260,0.262,STO
40,4847,4877,2023-02-28 10:19:20,2023-02-28 10:19:50,30.000,0.006,0.028,0.001,STO
41,4877,5025,2023-02-28 10:19:50,2023-02-28 10:22:19,149.000,6.439,72.859,0.489,STO-CLR-ROL-CLR-ROL-CLR-OUT-ROL-CLR-ROL
42,5025,5916,2023-02-28 10:22:19,2023-02-28 10:37:15,896.000,0.001,0.027,0.000,ROL
43,5916,5930,2023-02-28 10:37:15,2023-02-28 10:37:29,14.000,1.231,4.201,0.300,ROL
44,5930,6098,2023-02-28 10:37:29,2023-02-28 10:40:21,172.000,0.003,0.029,0.000,ROL
45,6098,6115,2023-02-28 10:40:21,2023-02-28 10:40:38,17.000,1.193,7.846,0.462,ROL
46,6115,6142,2023-02-28 10:40:38,2023-02-28 10:41:05,27.000,0.006,0.027,0.001,ROL
47,6142,6153,2023-02-28 10:41:05,2023-02-28 10:41:16,11.000,0.272,1.764,0.160,ROL
48,6153,6180,2023-02-28 10:41:16,2023-02-28 10:41:43,27.000,0.006,0.025,0.001,ROL
49,6180,6239,2023-02-28 10:41:43,2023-02-28 10:42:42,59.000,1.091,11.657,0.198,ROL
50,6239,6268,2023-02-28 10:42:42,2023-02-28 10:43:11,29.000,0.007,0.029,0.001,ROL
51,6268,6281,2023-02-28 10:43:11,2023-02-28 10:43:24,13.000,0.881,2.958,0.228,ROL
