Shift,Name,Move,Stay,Bad,Absent
23.02.13 - 1,Cart 16,0.064514,0.935382,0.000000,0.000104
23.02.13 - 1,Cart 05,0.110069,0.874757,0.015069,0.000104
23.02.13 - 1,Cart 09,0.109687,0.889896,0.000000,0.000417
23.02.13 - 1,Cart 15,0.004931,0.005799,0.897326,0.091944
23.02.13 - 1,Forklift 01,0.179931,0.819965,0.000000,0.000104
23.02.13 - 1,Cart 04,0.346007,0.651701,0.002188,0.000104
23.02.13 - 1,Cart 12,0.061042,0.938854,0.000000,0.000104
23.02.13 - 1,Forklift 17,0.148715,0.851181,0.000000,0.000104
23.02.13 - 1,Pallet truck 07,0.097292,0.902604,0.000000,0.000104
23.02.13 - 1,Cart 10,0.163507,0.836389,0.000000,0.000104
23.02.13 - 1,Pallet truck 03,0.050035,0.949861,0.000000,0.000104
23.02.13 - 1,Forklift 06,0.005660,0.994236,0.000000,0.000104
23.02.13 - 1,Pallet truck 02,0.316146,0.680451,0.003299,0.000104
23.02.13 - 1,Pallet truck 11,0.139549,0.860347,0.000000,0.000104
23.02.13 - 1,Pallet truck 14,0.069757,0.869028,0.000000,0.061215
23.02.13 - 1,Cart 13,0.027500,0.971736,0.000000,0.000764
23.02.13 - 1,Pallet truck 08,0.073056,0.926493,0.000000,0.000451
23.02.13 - 2,Cart 16,0.044826,0.506632,0.000000,0.448542
23.02.13 - 2,Cart 05,0.120208,0.878993,0.000694,0.000104
23.02.13 - 2,Cart 09,0.007049,0.723993,0.000000,0.268958
23.02.13 - 2,Cart 15,0.000000,0.002431,0.997465,0.000104
23.02.13 - 2,Forklift 01,0.070799,0.387604,0.000000,0.541597
23.02.13 - 2,Cart 04,0.137500,0.860451,0.001944,0.000104
23.02.13 - 2,Cart 12,0.039826,0.960069,0.000000,0.000104
23.02.13 - 2,Forklift 17,0.144410,0.716354,0.000347,0.138889
23.02.13 - 2,Pallet truck 07,0.118368,0.881528,0.000000,0.000104
23.02.13 - 2,Cart 10,0.006319,0.720972,0.000000,0.272708
23.02.13 - 2,Pallet truck 03,0.056042,0.943854,0.000000,0.000104
23.02.13 - 2,Forklift 06,0.000000,0.984722,0.000000,0.015278
23.02.13 - 2,Pallet truck 02,0.165278,0.832639,0.001979,0.000104
23.02.13 - 2,Pallet truck 11,0.073646,0.915937,0.000000,0.010417
23.02.13 - 2,Pallet truck 14,0.000000,0.999896,0.000000,0.000104
23.02.13 - 2,Cart 13,0.008715,0.991181,0.000000,0.000104
23.02.13 - 2,Pallet truck 08,0.043333,0.956562,0.000000,0.000104
23.02.13 - 3,Cart 05,0.190938,0.807778,0.001181,0.000104
23.02.13 - 3,Cart 15,0.000000,0.000556,0.075104,0.924340
23.02.13 - 3,Forklift 01,0.033125,0.621354,0.000000,0.345521
23.02.13 - 3,Cart 04,0.341944,0.657604,0.000347,0.000104
23.02.13 - 3,Cart 12,0.021667,0.978229,0.000000,0.000104
23.02.13 - 3,Pallet truck 07,0.002951,0.103160,0.000000,0.893889
23.02.13 - 3,Pallet truck 03,0.042569,0.957326,0.000000,0.000104
23.02.13 - 3,Pallet truck 02,0.211285,0.788229,0.000382,0.000104
23.02.13 - 3,Pallet truck 14,0.034132,0.965764,0.000000,0.000104
23.02.13 - 3,Cart 13,0.012049,0.987847,0.000000,0.000104
23.02.13 - 3,Pallet truck 08,0.009479,0.020521,0.000000,0.970000
23.02.14 - 1,Cart 16,0.053056,0.259028,0.000000,0.687917
23.02.14 - 1,Cart 05,0.124167,0.822292,0.001944,0.051597
23.02.14 - 1,Cart 09,0.025382,0.290903,0.000000,0.683715
23.02.14 - 1,Cart 15,0.032813,0.291701,0.000000,0.675486
23.02.14 - 1,Forklift 01,0.066285,0.284687,0.000000,0.649028
23.02.14 - 1,Cart 04,0.335556,0.530694,0.003299,0.130451
23.02.14 - 1,Cart 12,0.095799,0.746597,0.000000,0.157604
23.02.14 - 1,Forklift 17,0.182708,0.473403,0.000486,0.343403
23.02.14 - 1,Pallet truck 07,0.038785,0.259097,0.000000,0.702118
23.02.14 - 1,Cart 10,0.054062,0.218993,0.000000,0.726944
23.02.14 - 1,Pallet truck 03,0.095208,0.657049,0.000000,0.247743
23.02.14 - 1,Forklift 06,0.126597,0.363785,0.000000,0.509618
23.02.14 - 1,Pallet truck 02,0.362743,0.607778,0.012153,0.017326
23.02.14 - 1,Pallet truck 11,0.042569,0.268437,0.000000,0.688993
23.02.14 - 1,Pallet truck 14,0.088056,0.625451,0.082917,0.203576
23.02.14 - 1,Cart 13,0.076528,0.739826,0.000000,0.183646
23.02.14 - 1,Pallet truck 08,0.022187,0.311042,0.000000,0.666771
23.02.14 - 2,Cart 16,0.126354,0.873542,0.000000,0.000104
23.02.14 - 2,Cart 05,0.062986,0.936910,0.000000,0.000104
23.02.14 - 2,Cart 09,0.147674,0.852222,0.000000,0.000104
23.02.14 - 2,Cart 15,0.002708,0.134410,0.000000,0.862882
