Shift,Name,Far,Local,Stay,Bad,Absent
23.02.13 - 1,Cart 16,0.006701,0.057813,0.935382,0.000000,0.000104
23.02.13 - 1,Cart 05,0.023993,0.086076,0.874757,0.015069,0.000104
23.02.13 - 1,Cart 09,0.031806,0.077882,0.889896,0.000000,0.000417
23.02.13 - 1,Cart 15,0.000000,0.004931,0.005799,0.897326,0.091944
23.02.13 - 1,Forklift 01,0.052569,0.127361,0.819965,0.000000,0.000104
23.02.13 - 1,Cart 04,0.077917,0.268090,0.651701,0.002188,0.000104
23.02.13 - 1,Cart 12,0.000000,0.061042,0.938854,0.000000,0.000104
23.02.13 - 1,Forklift 17,0.038160,0.110556,0.851181,0.000000,0.000104
23.02.13 - 1,Pallet truck 07,0.000000,0.097292,0.902604,0.000000,0.000104
23.02.13 - 1,Cart 10,0.048576,0.114931,0.836389,0.000000,0.000104
23.02.13 - 1,Pallet truck 03,0.000000,0.050035,0.949861,0.000000,0.000104
23.02.13 - 1,Forklift 06,0.002431,0.003229,0.994236,0.000000,0.000104
23.02.13 - 1,Pallet truck 02,0.141806,0.174340,0.680451,0.003299,0.000104
23.02.13 - 1,Pallet truck 11,0.000000,0.139549,0.860347,0.000000,0.000104
23.02.13 - 1,Pallet truck 14,0.017708,0.052049,0.869028,0.000000,0.061215
23.02.13 - 1,Cart 13,0.000000,0.027500,0.971736,0.000000,0.000764
23.02.13 - 1,Pallet truck 08,0.036806,0.036250,0.926493,0.000000,0.000451
23.02.13 - 2,Cart 16,0.000000,0.044826,0.506632,0.000000,0.448542
23.02.13 - 2,Cart 05,0.044722,0.075486,0.878993,0.000694,0.000104
23.02.13 - 2,Cart 09,0.000000,0.007049,0.723993,0.000000,0.268958
23.02.13 - 2,Cart 15,0.000000,0.000000,0.002431,0.997465,0.000104
23.02.13 - 2,Forklift 01,0.033438,0.037361,0.387604,0.000000,0.541597
23.02.13 - 2,Cart 04,0.047257,0.090243,0.860451,0.001944,0.000104
23.02.13 - 2,Cart 12,0.000000,0.039826,0.960069,0.000000,0.000104
23.02.13 - 2,Forklift 17,0.041840,0.102569,0.716354,0.000347,0.138889
23.02.13 - 2,Pallet truck 07,0.000000,0.118368,0.881528,0.000000,0.000104
23.02.13 - 2,Cart 10,0.000000,0.006319,0.720972,0.000000,0.272708
23.02.13 - 2,Pallet truck 03,0.000000,0.056042,0.943854,0.000000,0.000104
23.02.13 - 2,Forklift 06,0.000000,0.000000,0.984722,0.000000,0.015278
23.02.13 - 2,Pallet truck 02,0.020868,0.144410,0.832639,0.001979,0.000104
23.02.13 - 2,Pallet truck 11,0.000000,0.073646,0.915937,0.000000,0.010417
23.02.13 - 2,Pallet truck 14,0.000000,0.000000,0.999896,0.000000,0.000104
23.02.13 - 2,Cart 13,0.000000,0.008715,0.991181,0.000000,0.000104
23.02.13 - 2,Pallet truck 08,0.024792,0.018542,0.956562,0.000000,0.000104
23.02.13 - 3,Cart 05,0.003785,0.187153,0.807778,0.001181,0.000104
23.02.13 - 3,Cart 15,0.000000,0.000000,0.000556,0.075104,0.924340
23.02.13 - 3,Forklift 01,0.000000,0.033125,0.621354,0.000000,0.345521
23.02.13 - 3,Cart 04,0.031458,0.310486,0.657604,0.000347,0.000104
23.02.13 - 3,Cart 12,0.000000,0.021667,0.978229,0.000000,0.000104
23.02.13 - 3,Pallet truck 07,0.000000,0.002951,0.103160,0.000000,0.893889
23.02.13 - 3,Pallet truck 03,0.000000,0.042569,0.957326,0.000000,0.000104
23.02.13 - 3,Pallet truck 02,0.030243,0.181042,0.788229,0.000382,0.000104
23.02.13 - 3,Pallet truck 14,0.000000,0.034132,0.965764,0.000000,0.000104
23.02.13 - 3,Cart 13,0.000000,0.012049,0.987847,0.000000,0.000104
23.02.13 - 3,Pallet truck 08,0.000000,0.009479,0.020521,0.000000,0.970000
23.02.14 - 1,Cart 16,0.012500,0.040556,0.259028,0.000000,0.687917
23.02.14 - 1,Cart 05,0.039201,0.084965,0.822292,0.001944,0.051597
