Date,Shift,Name,Far,Local,Stay,Bad,Absent
2023-02-13,1,Forklift 01,0.039479,0.001875,0.958542,0.000000,0.000104
2023-02-13,1,Pallet truck 02,0.115312,0.043333,0.834028,0.004931,0.002396
2023-02-13,1,Pallet truck 03,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-13,1,Cart 04,0.070799,0.099410,0.826354,0.003333,0.000104
2023-02-13,1,Cart 05,0.011250,0.031667,0.939861,0.017118,0.000104
2023-02-13,1,Forklift 06,0.000000,0.000208,0.999687,0.000000,0.000104
2023-02-13,1,Pallet truck 07,0.000000,0.002188,0.997708,0.000000,0.000104
2023-02-13,1,Pallet truck 08,0.031944,0.007222,0.956771,0.000000,0.004063
2023-02-13,1,Cart 09,0.024132,0.001563,0.973889,0.000000,0.000417
2023-02-13,1,Cart 10,0.029340,0.005799,0.964757,0.000000,0.000104
2023-02-13,1,Pallet truck 11,0.000000,0.002014,0.997882,0.000000,0.000104
2023-02-13,1,Cart 12,0.000000,0.003056,0.988681,0.000000,0.008264
2023-02-13,1,Cart 13,0.000000,0.000243,0.998993,0.000000,0.000764
2023-02-13,1,Pallet truck 14,0.005417,0.005417,0.927951,0.000000,0.061215
2023-02-13,1,Cart 16,0.005347,0.011042,0.983507,0.000000,0.000104
2023-02-13,1,Forklift 17,0.029861,0.006354,0.963681,0.000000,0.000104
2023-02-13,2,Forklift 01,0.025521,0.001181,0.431701,0.000000,0.541597
2023-02-13,2,Pallet truck 02,0.012951,0.030347,0.953056,0.003542,0.000104
2023-02-13,2,Pallet truck 03,0.000000,0.000000,0.999653,0.000243,0.000104
2023-02-13,2,Cart 04,0.041701,0.015278,0.941076,0.001840,0.000104
2023-02-13,2,Cart 05,0.033160,0.004028,0.960069,0.002639,0.000104
2023-02-13,2,Forklift 06,0.000000,0.000000,0.984722,0.000000,0.015278
2023-02-13,2,Pallet truck 07,0.000000,0.002188,0.997708,0.000000,0.000104
2023-02-13,2,Pallet truck 08,0.019931,0.012847,0.967118,0.000000,0.000104
2023-02-13,2,Cart 09,0.000000,0.003542,0.727500,0.000000,0.268958
2023-02-13,2,Cart 10,0.000000,0.000000,0.727292,0.000000,0.272708
2023-02-13,2,Pallet truck 11,0.000000,0.000000,0.989583,0.000000,0.010417
2023-02-13,2,Cart 12,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-13,2,Cart 13,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-13,2,Pallet truck 14,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-13,2,Cart 16,0.000000,0.000000,0.551458,0.000000,0.448542
2023-02-13,2,Forklift 17,0.035208,0.010347,0.811007,0.000451,0.142986
2023-02-13,3,Forklift 01,0.000000,0.000000,0.654479,0.000000,0.345521
2023-02-13,3,Pallet truck 02,0.015451,0.061354,0.921424,0.001667,0.000104
2023-02-13,3,Pallet truck 03,0.000000,0.000208,0.999687,0.000000,0.000104
2023-02-13,3,Cart 04,0.029757,0.174583,0.794271,0.001285,0.000104
2023-02-13,3,Cart 05,0.000000,0.006597,0.991146,0.002153,0.000104
2023-02-13,3,Pallet truck 07,0.000000,0.000000,0.106111,0.000000,0.893889
2023-02-13,3,Pallet truck 08,0.000000,0.008750,0.021250,0.000000,0.970000
2023-02-13,3,Cart 12,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-13,3,Cart 13,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-13,3,Pallet truck 14,0.000000,0.002500,0.997396,0.000000,0.000104
2023-02-14,1,Forklift 01,0.022812,0.008854,0.319306,0.000000,0.649028
2023-02-14,1,Pallet truck 02,0.161528,0.062708,0.744375,0.014063,0.017326
2023-02-14,1,Pallet truck 03,0.005174,0.007569,0.739514,0.000000,0.247743
2023-02-14,1,Cart 04,0.129062,0.064028,0.667951,0.002986,0.135972
2023-02-14,1,Cart 05,0.030694,0.020035,0.894687,0.002986,0.051597
2023-02-14,1,Forklift 06,0.015694,0.026319,0.448368,0.000000,0.509618
2023-02-14,1,Pallet truck 07,0.018437,0.001076,0.278368,0.000000,0.702118
2023-02-14,1,Pallet truck 08,0.000000,0.007049,0.322569,0.000000,0.670382
2023-02-14,1,Cart 09,0.003125,0.000000,0.312778,0.000382,0.683715
2023-02-14,1,Cart 10,0.000382,0.002951,0.269722,0.000000,0.726944
2023-02-14,1,Pallet truck 11,0.000000,0.000000,0.311007,0.000000,0.688993
2023-02-14,1,Cart 12,0.005660,0.015625,0.818924,0.000000,0.159792
2023-02-14,1,Cart 13,0.000000,0.010590,0.805764,0.000000,0.183646
2023-02-14,1,Pallet truck 14,0.000000,0.005764,0.704132,0.087500,0.202604
2023-02-14,1,Cart 15,0.002708,0.002847,0.318958,0.000000,0.675486
2023-02-14,1,Cart 16,0.012153,0.007500,0.292153,0.000000,0.688194
2023-02-14,1,Forklift 17,0.056528,0.032326,0.565278,0.002465,0.343403
2023-02-14,2,Forklift 01,0.030174,0.011910,0.957812,0.000000,0.000104
2023-02-14,2,Pallet truck 02,0.018333,0.072465,0.905035,0.004063,0.000104
2023-02-14,2,Pallet truck 03,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-14,2,Cart 04,0.000000,0.031354,0.080590,0.000000,0.888056
2023-02-14,2,Cart 05,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-14,2,Forklift 06,0.013611,0.000972,0.985313,0.000000,0.000104
2023-02-14,2,Pallet truck 07,0.000000,0.003889,0.996007,0.000000,0.000104
2023-02-14,2,Pallet truck 08,0.000000,0.000000,0.784028,0.000000,0.215972
2023-02-14,2,Cart 09,0.025590,0.000000,0.974306,0.000000,0.000104
2023-02-14,2,Cart 10,0.000000,0.008958,0.765312,0.000000,0.225729
2023-02-14,2,Pallet truck 11,0.000000,0.005833,0.994062,0.000000,0.000104
2023-02-14,2,Cart 12,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-14,2,Cart 13,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-14,2,Cart 15,0.000000,0.000000,0.137118,0.000000,0.862882
2023-02-14,2,Cart 16,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-14,2,Forklift 17,0.000000,0.017326,0.979618,0.002951,0.000104
2023-02-14,3,Forklift 01,0.000000,0.001250,0.998646,0.000000,0.000104
2023-02-14,3,Pallet truck 02,0.022014,0.010347,0.620590,0.002917,0.344132
2023-02-14,3,Pallet truck 03,0.014653,0.000521,0.984722,0.000000,0.000104
2023-02-14,3,Cart 05,0.000000,0.000278,0.999618,0.000000,0.000104
2023-02-14,3,Forklift 06,0.000000,0.000000,0.468854,0.000000,0.531146
2023-02-14,3,Pallet truck 07,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-14,3,Cart 09,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-14,3,Pallet truck 11,0.000000,0.031389,0.927292,0.000000,0.041319
2023-02-14,3,Cart 12,0.000000,0.000000,0.752847,0.000000,0.247153
2023-02-14,3,Cart 13,0.000000,0.000000,0.780521,0.000000,0.219479
2023-02-14,3,Cart 16,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-14,3,Forklift 17,0.021111,0.022917,0.951597,0.004271,0.000104
2023-02-15,1,Forklift 01,0.025868,0.010139,0.959896,0.000000,0.004097
2023-02-15,1,Pallet truck 03,0.000000,0.024306,0.975590,0.000000,0.000104
2023-02-15,1,Cart 05,0.008403,0.000000,0.991493,0.000000,0.000104
2023-02-15,1,Pallet truck 07,0.000000,0.000000,0.999896,0.000000,0.000104
2023-02-15,1,Cart 09,0.014410,0.015069,0.965625,0.000000,0.004896
2023-02-15,1,Cart 16,0.028368,0.004861,0.966667,0.000000,0.000104
2023-02-15,1,Forklift 17,0.076389,0.042118,0.875903,0.005486,0.000104
2023-02-15,2,Forklift 01,0.000000,0.005243,0.607812,0.000000,0.386944
2023-02-15,2,Pallet truck 02,0.000000,0.104340,0.469306,0.002847,0.423507
2023-02-15,2,Pallet truck 03,0.000000,0.000208,0.999271,0.000000,0.000521
2023-02-15,2,Cart 04,0.038542,0.066562,0.459896,0.000972,0.434028
2023-02-15,2,Cart 05,0.000000,0.000000,0.961042,0.000000,0.038958
2023-02-15,2,Forklift 06,0.000000,0.000000,0.649062,0.000000,0.350938
2023-02-15,2,Pallet truck 07,0.000000,0.000000,0.999549,0.000000,0.000451
2023-02-15,2,Pallet truck 08,0.000000,0.000000,0.664618,0.000000,0.335382
2023-02-15,2,Cart 09,0.052604,0.003715,0.943576,0.000000,0.000104
2023-02-15,2,Cart 10,0.000000,0.000000,0.688056,0.000000,0.311944
2023-02-15,2,Pallet truck 11,0.000000,0.000000,0.048993,0.000313,0.950694
2023-02-15,2,Cart 12,0.000000,0.013715,0.101528,0.000000,0.884757
2023-02-15,2,Cart 13,0.000000,0.001215,0.083437,0.500000,0.415347
